ts,node_id,soil_moisture,air_temp,air_humidity,pressure,light_lux,irrigation_alarm,packed
2026-01-01 00:00:00,1,50.776111226800204,17.619258872208228,78.6833453819078,1007.3419309389192,233.13219734837998,0,21528759333993991
2026-01-01 00:01:00,1,51.08454001886552,17.51109666284571,77.05838245116531,1009.2763596266011,182.25651995238434,0,16814139339879946
2026-01-01 00:02:00,1,49.91659957937656,17.763857811117727,78.57730151797564,1008.5276063892389,28.98165938687125,0,2669987431892478
2026-01-01 00:03:00,1,53.776871973596045,17.030387406232997,82.57123088041138,1008.529256405726,554.0872380043942,0,51118867884185126
2026-01-01 00:04:00,1,48.456911997952055,17.4222388992788,76.51065578700737,1009.4219973823406,883.1221914041428,0,81483021669020143
2026-01-01 00:05:00,1,45.7678252174216,17.714771373602638,75.73590871307117,1007.7339473559341,891.3370512894592,0,82221818304185812
2026-01-01 00:06:00,1,47.85949039624324,17.919927386417083,74.11244515616855,1008.6891748315577,681.9082419851493,0,62905640943538665
2026-01-01 00:07:00,1,45.210052426714526,18.1103774960425,73.70404929349694,1009.7869473844839,137.55615720926727,0,12697589206932942
2026-01-01 00:08:00,1,48.61381925474395,17.601883557485547,75.6198197071447,1007.0799082636047,527.4981560198206,0,48655899412053489
2026-01-01 00:09:00,1,55.33282531195645,16.24991196909957,80.83162494958653,1005.9454321427901,865.3455811845066,0,79829201654277686
2026-01-01 00:10:00,1,44.519359284053316,17.215585474298738,82.34047989946423,1008.8704447370485,446.19794415216376,0,41161705611239879
2026-01-01 00:11:00,1,48.55829771433946,19.387936043429185,81.33802056299865,1007.8949949128444,61.907537224691445,0,5730999947178480
2026-01-01 00:12:00,1,49.357668982020314,18.368383599537193,80.85988118887508,1008.1499939618628,253.55271839494952,0,23393567610170872
2026-01-01 00:13:00,1,51.57386728122587,17.226574612552188,74.19783961466663,1008.0464027965718,436.4921597693634,0,40282059627734543
2026-01-01 00:14:00,1,52.56523242196244,17.468429465092626,75.86602561309986,1009.867637761129,913.3237054420863,0,84262606378808857
2026-01-01 00:15:00,1,53.49915333373445,19.373716848404804,79.98042049093682,1005.6154954342531,45.08731232445751,0,4182788761661987
2026-01-01 00:16:00,1,53.96529542587207,18.948981643480785,77.14999323711852,1008.2372614660642,793.8221976974497,0,73214640555759144
2026-01-01 00:17:00,1,54.814058959566175,18.461783691718065,70.77070946978515,1005.8170180141557,446.0328304400104,0,41161572217714224
2026-01-01 00:18:00,1,52.0564366561624,17.571268609608165,83.65928033713254,1007.5636257818176,681.1586028027742,0,62835223010654740
2026-01-01 00:19:00,1,49.974347757736936,17.07578905348714,77.78324204777583,1006.2127878978664,558.7499066699819,0,51540979314760191
